Reference Number,Publication Title,Publication Authors,Publication Journal,Publication Volume,Publication Pages,Publication Year,Study Location,Experimental Design,Treatment Description,Treatment Dosage,Treatment Dosage Units,Animals per Treatment,Treatment Code,Treatment Type,Animal Metabolic Status,Rumen Cannulation Status,Animal Housing Type,Animal Feeding Type,Diet Acclimation Days,Data Collection Days,Total Treatment Days,Feed Analysis Method,Animal sex: 1 = Male; 2= Female,Animal Age (months),"Animal BW, kg",Methane Measurement Method,DIM,"ADG, kg/d ",ADG SEM,ADG SD,Intake strategy,Diet Forage #1,"Diet Forage #1, % Diet DM",Diet Forage #2,"Diet forage #2, % Diet DM",Supplemental Feed Ingredients,"Diet Forage, %DM","DMI, kg/d",DMI SEM,DMI SED,DMI SD,"Diet GE, Mcal/kg DM","Diet CP, %DM","Diet Fatty Acids, %DM","Diet EE, %DM","Diet Ash, %DM","Diet NDF, %DM","Diet ADF, %DM","Diet Lignin, %DM","Diet Starch, %DM",Rumen pH,Rumen pH SEM,Rumen pH SED,Rumen pH SD,"Rumen Ammonia, mM",Rumen Ammonia SEM,Rumen Ammonia SED,Rumen Ammonia SD,"Rumen VFA, mM",Rumen VFA SEM,Rumen VFA SED,Rumen VFA SD,"Rumen Acetate, mol/100 mol",Rumen Acetate SEM,Rumen Acetate SED ,Rumen Acetate SD ,"Rumen Propionate, mol/100 mol",Rumen Propionate SEM,Rumen Propionate SED,Rumen Propionate  SD,"Rumen Butyrate, mol/100 mol",Rumen Butyrate SEM,Rumen Butyrate SED,Rumen Butyrate SD,Rumen Sampling Method,"TTDM dig, %",TTDM dig SEM,TTDM dig SED,TTDM dig SD,"TTOM dig, % ",TTOM dig SEM,TTOM dig SED,TTOM dig SD,"TTCP dig, %",TTCP dig SEM,TTCP dig SED,TTCP dig SD,"TTGE dig, %",TTGE dig SEM,TTGE dig SED,TTGE dig SD,"TTNDF dig, %",TTNDF dig SEM,TTNDF dig SED,TTNDF dig SD,"TTADF dig, %",TTADF dig SEM,TTADF dig SED,TTADF dig SD,"TTStarch dig, %",TTStarch dig SEM,TTStarch dig SED,"Fecal N, g/d",Fecal N SEM,Fecal N SED,Fecal N SD,"Urine N, g/d",Urine N SEM,Urine N SED,Urine N SD,"Milk N, g/d",Milk N SEM,Milk N SED,"Milk, kg/d",Milk SEM,Milk SED,Milk SD,"Milk Fat, %",Milk Fat SEM,Milk Fat SED,Milk Fat SD,"Milk CP, %",Milk CP SEM,Milk CP SED,Milk CP SD,"Milk TP, %",Milk TP SEM,Milk TP SED,Milk TP SD,"Milk Lactose, %",Milk Lactose SEM,Milk Lactose SED,Milk Lactose SD,"ECM, kg/d",ECM SEM,ECM SED,ECM SD,"FCM 3.5%, kg/d",FCM 3.5% SEM,"FCM 4%, kg",FCM 4% SEM,"SCM, kg/d","SCM, SEM","FPCM, kg/d",FPCM SEM,FPCM SED,FPCM SD,"MUN, mg/dL",MUN SEM,MUN SD,"CH4, g/d ",CH4 SEM,CH4 SED,CH4 SD,"CH4/DMI, g/kg","CH4/DMI, SEM","CH4/DMI, SED","CH4/DMI, SD","CH4, %GEI","CH4, %GEI SEM","CH4, %GEI SED","CH4, %GEI SD","CH4/Milk, g/kg","CH4/Milk,SEM","CH4/Milk, SED","CH4/Milk, SD","CH4/ECM, g/kg","CH4/ECM,SEM","CH4/ECM, SED","CH4/ECM, SD",CH4/BW Gain g/kg,"CH4/BW Gain, g/kg SEM","H2, g/d",H2 SEM,H2 SD,H2/DMI g/kg,H2/DMI g/kg SEM,"H2/DMI, g/kg SED",H2/DMI g/kg SD,"CO2, g/d ",CO2 SEM,CO2 SED,CO2 SD,"CO2/DMI, g/kg","CO2/DMI, g/kg SEM","CO2/DMI, g/kg SED","CO2/DMI, g/kg SD"
1,"Effects of lauric and myristic acids on ruminal fermentation, production, and milk fatty acid composition in lactating dairy cows.",Hristov et al.,Journal of Dairy Science,94,382-395,2011,United States,Latin Square,stearic (control) 240 g/cow,240, g/cow,6,"SA, control",Control ,Lactating,Cannulated,Individual,TMR,21,7,28,Wet Chemistry,2,,672,Sulfur Hexafluoride (SF6) tracer technique,95,,,,Ad libitum,Corn silage,47.6,Grass hay,10.2,"Corn, Canola, Whole Soybeans, Cookie, Cottonseed hulls, Sugar",57.8,26.9,0.84,,,,14.4,,,,34.8,21.6,,26.4,6.17,0.056,,,4.03,0.32,,,114,2.2,,,59.56,,,,24.47,,,,11.05,,,,Cannula,65.4,2.28,,,66.5,2.21,,,,,,,,,,,43.9,3.77,,,31.8,4,,,98.1,0.3,,241,14.5,,,117,9.7,,,,,,44.6,1.7,,,3.42,0.327,,,,,,,2.98,0.032,,,4.84,0.135,,,,,,,,,,,,,,,,,7.7,0.52,,300,33.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Effects of lauric and myristic acids on ruminal fermentation, production, and milk fatty acid composition in lactating dairy cows.",Hristov et al.,Journal of Dairy Science,94,382-395,2011,United States,Latin Square,lauric acid 240 g/cow,240, g/cow,6,LA,Lipid,Lactating,Cannulated,Individual,TMR,21,7,28,Wet Chemistry,2,,665,Sulfur Hexafluoride (SF6) tracer technique,95,,,,Ad libitum,Corn silage,47.6,Grass hay,10.2,"Corn, Canola, Whole Soybeans, Cookie, Cottonseed hulls, Sugar",57.8,20,0.84,,,,14.4,,,,34.8,21.6,,26.4,6.36,0.056,,,3.10,0.32,,,104.6,2.2,,,55.93,,,,25.91,,,,11.95,,,,Cannula,67.7,2.28,,,68.6,2.21,,,,,,,,,,,42.1,3.77,,,32.1,4,,,98.6,0.3,,149,14.5,,,113,9.7,,,,,,35.8,1.7,,,2.59,0.327,,,,,,,2.9,0.032,,,4.78,0.135,,,,,,,,,,,,,,,,,9.7,0.52,,290.4,33.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Effects of lauric and myristic acids on ruminal fermentation, production, and milk fatty acid composition in lactating dairy cows.",Hristov et al.,Journal of Dairy Science,94,382-395,2011,United States,Latin Square,myristic acid 240 g/cow,240, g/cow,6,MA,Lipid,Lactating,Cannulated,Individual,TMR,21,7,28,Wet Chemistry,2,,661,Sulfur Hexafluoride (SF6) tracer technique,95,,,,Ad libitum,Corn silage,47.6,Grass hay,10.2,"Corn, Canola, Whole Soybeans, Cookie, Cottonseed hulls, Sugar",57.8,25.7,0.84,,,,14.4,,,,34.8,21.6,,26.4,6.13,0.056,,,4.41,0.32,,,114.9,2.2,,,58.66,,,,24.98,,,,11.75,,,,Cannula,67.3,2.28,,,68.4,2.21,,,,,,,,,,,45.6,3.77,,,33.9,4,,,97.8,0.3,,221,14.5,,,120,9.7,,,,,,44.2,1.7,,,3.12,0.327,,,,,,,2.89,0.032,,,4.78,0.135,,,,,,,,,,,,,,,,,8.3,0.52,,312,33.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Rumen fermentation and production effects of Origanum vulgare L. leaves in lactating dairy cows. ,"Tekippe, J. A., Hristov, A. N., Heyler, K. S., Cassidy, T. W., Zheljazkov, V. D., Ferreira, J. F. S., ... & Varga, G. A.",Journal of Dairy Science,94,5065-5079,2011,United States,Crossover,Control,0,g/d,8,Control,Control ,Lactating,Both,Individual,TMR,14,7,21,Wet Chemistry,2,49,640,Sulfur Hexafluoride (SF6) tracer technique,80,,,,Ad libitum,Corn silage,42.4,Alfalfa silage,13.1,corn ground/canola meal/Bakery/Cottonseed Hulls/Sugar,59.9,26.7,3.01,,,,15.6,,3.8,,32,20.5,,,6,0.09,,,4.50,0.46,,,132.2,6.64,,,61.12,,,,23.07,,,,10.74,,,,Cannula,63,,,,64,,,,,,,,,,,,34,,,,29,,,,,,,290,40,,,240,20,,,,,,43.6,3.58,,,3.12,0.281,,,,,,,2.97,0.098,,,4.77,0.052,,,,,,,,,,,,,,,,,13.4,0.841,,748.8,197.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Rumen fermentation and production effects of Origanum vulgare L. leaves in lactating dairy cows. ,"Tekippe, J. A., Hristov, A. N., Heyler, K. S., Cassidy, T. W., Zheljazkov, V. D., Ferreira, J. F. S., ... & Varga, G. A.",Journal of Dairy Science,94,5065-5079,2011,United States,Crossover,Origanum vulgare L. leaves ,500,g/d,8,OV,Essential Oil,Lactating,Both,Individual,TMR,14,7,21,Wet Chemistry,2,49,640,Sulfur Hexafluoride (SF6) tracer technique,80,,,,Ad libitum,Corn silage,42.4,Alfalfa silage,13.1,corn ground/canola meal/Bakery/Cottonseed Hulls/Sugar,59.9,26,3.01,,,,15.6,,3.8,,32,20.5,,,6.1,0.09,,,5.50,0.46,,,128.9,6.64,,,61.83,,,,22.03,,,,11.25,,,,Cannula,63,,,,64,,,,,,,,,,,,34,,,,29,,,,,,,280,40,,,230,20,,,,,,44.1,3.58,,,3.29,0.281,,,,,,,2.96,0.098,,,4.75,0.052,,,,,,,,,,,,,,,,,13.3,0.841,,451.2,197.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Persistency of methane mitigation by dietary nitrate supplementation in dairy cows. ,"Van Zijderveld, S. M., Gerrits, W. J. J., Dijkstra, J., Newbold, J. R., Hulshof, R. B. A., & Perdok, H. B.",Journal of Dairy Science,94,4028-4038,2011,Netherlands,Completely Random Design,Control (Urea) d13-d17,0,g/kg,10,Urea ,Control ,Lactating,Non-cannulated,Individual,TMR,12,5,17,NIR,2,,,Respiration chamber,104,,,,Restricted,Corn silage,53,Alfalfa Hay,9,Formaldehyde SBM/SBM/wheat/corn/ beet pulp,66,17.9,0.76,,,4.47,15.6,,4.4,7.7,32.9,,,23.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.1,1.09,,,,,,,97.3,0.28,,,,,,,,,,,,,27.9,0.87,,,4.27,0.172,,,3.09,0.058,,,,,,,4.47,0.058,,,,,,,,,,,,,28.1,0.91,,,12.1,0.49,,341,12.5,,,19.1,0.47,,,5.7,0.15,,,11.8,0.52,,,,,,,,,,,,,,,,,,,,,,,
6,Persistency of methane mitigation by dietary nitrate supplementation in dairy cows. ,"Van Zijderveld, S. M., Gerrits, W. J. J., Dijkstra, J., Newbold, J. R., Hulshof, R. B. A., & Perdok, H. B.",Journal of Dairy Science,94,4028-4038,2011,Netherlands,Completely Random Design,Control (Urea) d37-d41,0,g/kg,10,Urea ,Control ,Lactating,Non-cannulated,Individual,TMR,12,5,17,NIR,2,,,Respiration chamber,104,,,,Restricted,Corn silage,53,Alfalfa Hay,9,Formaldehyde SBM/SBM/wheat/corn/ beet pulp,66,19.1,0.76,,,4.47,15.6,,4.4,7.7,32.9,,,23.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.6,1.09,,,,,,,98,0.28,,,,,,,,,,,,,27.4,0.87,,,4.28,0.172,,,3.24,0.058,,,,,,,4.47,0.058,,,,,,,,,,,,,27.9,0.91,,,12,0.49,,371,12.5,,,19.6,0.47,,,5.7,0.15,,,13.3,0.52,,,,,,,,,,,,,,,,,,,,,,,
6,Persistency of methane mitigation by dietary nitrate supplementation in dairy cows. ,"Van Zijderveld, S. M., Gerrits, W. J. J., Dijkstra, J., Newbold, J. R., Hulshof, R. B. A., & Perdok, H. B.",Journal of Dairy Science,94,4028-4038,2011,Netherlands,Completely Random Design,Control (Urea) d61-d65,0,g/kg,10,Urea ,Control ,Lactating,Non-cannulated,Individual,TMR,12,5,17,NIR,2,,,Respiration chamber,104,,,,Restricted,Corn silage,53,Alfalfa Hay,9,Formaldehyde SBM/SBM/wheat/corn/ beet pulp,66,19.4,0.76,,,4.47,15.6,,4.4,7.7,32.9,,,23.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.1,1.09,,,,,,,97.5,0.28,,,,,,,,,,,,,26.2,0.87,,,4.24,0.172,,,3.25,0.058,,,,,,,4.46,0.058,,,,,,,,,,,,,26.6,0.91,,,13.2,0.49,,378,12.5,,,19.5,0.47,,,6.1,0.15,,,13.9,0.52,,,,,,,,,,,,,,,,,,,,,,,
6,Persistency of methane mitigation by dietary nitrate supplementation in dairy cows. ,"Van Zijderveld, S. M., Gerrits, W. J. J., Dijkstra, J., Newbold, J. R., Hulshof, R. B. A., & Perdok, H. B.",Journal of Dairy Science,94,4028-4038,2011,Netherlands,Completely Random Design,Control (Urea) d85-d89,0,g/kg,10,Urea ,Control ,Lactating,Non-cannulated,Individual,TMR,12,5,17,NIR,2,,,Respiration chamber,104,,,,Restricted,Corn silage,53,Alfalfa Hay,9,Formaldehyde SBM/SBM/wheat/corn/ beet pulp,66,19.7,0.76,,,4.47,15.6,,4.4,7.7,32.9,,,23.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.3,1.09,,,,,,,98.4,0.28,,,,,,,,,,,,,25.5,0.87,,,4.19,0.172,,,3.24,0.058,,,,,,,4.46,0.058,,,,,,,,,,,,,25.7,0.91,,,12.2,0.49,,383,12.5,,,19.5,0.47,,,6.1,0.15,,,15,0.52,,,,,,,,,,,,,,,,,,,,,,,
6,Persistency of methane mitigation by dietary nitrate supplementation in dairy cows. ,"Van Zijderveld, S. M., Gerrits, W. J. J., Dijkstra, J., Newbold, J. R., Hulshof, R. B. A., & Perdok, H. B.",Journal of Dairy Science,94,4028-4038,2011,Netherlands,Completely Random Design,Nitrate d 13-d17,21,g/kg,10,Nitrate,Electron Acceptor,Lactating,Non-cannulated,Individual,TMR,12,5,17,NIR,2,,,Respiration chamber,104,,,,Restricted,Corn silage,53,Alfalfa Hay,9,Formaldehyde SBM/SBM/wheat/corn/ beet pulp,66,18,0.76,,,4.47,15.6,,4.3,7.6,32.5,,,23.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.7,1.09,,,,,,,96.6,0.28,,,,,,,,,,,,,28.3,0.87,,,4.02,0.172,,,2.95,0.058,,,,,,,4.48,0.058,,,,,,,,,,,,,27.7,0.91,,,12.4,0.49,,283,12.5,,,15.8,0.47,,,4.7,0.15,,,10.4,0.52,,,,,,,,,,,,,,,,,,,,,,,
